event_name,event_time,event_mag,sta,snr,polarity,ray_azimuth,take_off_angle,P_time,S_time
sparta0.0,2020-08-09T12:07:37,5.14,GFM,22.372266619001028,"['', 'D', '']",237.19186,62.865070817838266,2020-08-09T12:07:50.068087Z,2020-08-09T12:07:58.906048Z
sparta0.0,2020-08-09T12:07:37,5.14,U54A,35.76141048944183,['D'],273.94516,,2020-08-09T12:07:48.163296Z,2020-08-09T12:07:55.713057Z
sparta0.0,2020-08-09T12:07:37,5.14,U56A,33.124168521810844,[],102.9727,,2020-08-09T12:07:48.397608Z,2020-08-09T12:07:56.105841Z
sparta0.0,2020-08-09T12:07:37,5.14,V55A,37.66714734866862,[],188.43828,,2020-08-09T12:07:49.205972Z,2020-08-09T12:07:57.466974Z
sparta0.0,2020-08-09T12:07:37,5.14,BLA,16.60595881893602,['D'],36.656498,62.86479615173884,2020-08-09T12:07:54.422113Z,2020-08-09T12:08:06.204575Z
sparta0.0142,2020-08-09T12:28:02,0.91,GFM,1.535969443545354,[],236.23964,62.85991110410201,2020-08-09T12:28:15.063437Z,2020-08-09T12:28:23.898209Z
sparta0.0142,2020-08-09T12:28:02,0.91,U54A,-2.250500395202223,[],273.056,,2020-08-09T12:28:13.029644Z,2020-08-09T12:28:20.489025Z
sparta0.0142,2020-08-09T12:28:02,0.91,U56A,0.1382358023604665,[],103.69824,,2020-08-09T12:28:13.554501Z,2020-08-09T12:28:21.368835Z
sparta0.0142,2020-08-09T12:28:02,0.91,V55A,0.9854788166231021,[],187.75725,,2020-08-09T12:28:14.364061Z,2020-08-09T12:28:22.731981Z
sparta0.0142,2020-08-09T12:28:02,0.91,BLA,1.5075205144553336,[],37.325283,62.85965418602179,2020-08-09T12:28:19.350951Z,2020-08-09T12:28:31.085504Z
sparta0.1516,2020-08-09T15:45:56,1.8,GFM,1.988652036493359,[],238.44923,62.975420367646656,2020-08-09T15:46:09.170349Z,2020-08-09T15:46:18.077484Z
sparta0.1516,2020-08-09T15:45:56,1.8,U54A,4.1249158381173725,[''],275.05487,62.97549367322969,2020-08-09T15:46:07.446003Z,2020-08-09T15:46:15.186852Z
sparta0.1516,2020-08-09T15:45:56,1.8,U56A,3.1708355294918187,[],102.02205,62.97549701004076,2020-08-09T15:46:07.280087Z,2020-08-09T15:46:14.908880Z
sparta0.1516,2020-08-09T15:45:56,1.8,V55A,2.7090197636055735,[],189.4061,62.97547401080767,2020-08-09T15:46:08.094785Z,2020-08-09T15:46:16.280481Z
sparta0.1516,2020-08-09T15:45:56,1.8,BLA,0.4520111521880358,[],35.767582,62.97491680458494,2020-08-09T15:46:13.565264Z,2020-08-09T15:46:25.444641Z
sparta0.1604,2020-08-09T15:58:34,1.72,GFM,1.0524943936901434,[],236.94345,62.9742688076442,2020-08-09T15:58:47.251770Z,2020-08-09T15:58:56.213982Z
sparta0.1604,2020-08-09T15:58:34,1.72,U54A,5.576287639858672,"['', '']",273.39352,62.97434917584562,2020-08-09T15:58:45.308235Z,2020-08-09T15:58:52.955973Z
sparta0.1604,2020-08-09T15:58:34,1.72,U56A,5.767860352970878,"['D', '']",103.55292,62.97434609089885,2020-08-09T15:58:45.461403Z,2020-08-09T15:58:53.212574Z
sparta0.1604,2020-08-09T15:58:34,1.72,V55A,6.816792802958224,[''],188.62714,62.9743144608209,2020-08-09T15:58:46.403785Z,2020-08-09T15:58:54.798498Z
sparta0.1604,2020-08-09T15:58:34,1.72,BLA,2.908147653459208,[],36.71652,62.97380581583607,2020-08-09T15:58:51.361925Z,2020-08-09T15:59:03.103798Z
sparta0.5355,2020-08-10T00:58:48,0.8,GFM,5.33797758231168,[],237.43323,,2020-08-10T00:59:00.975016Z,2020-08-10T00:59:09.750065Z
sparta0.5355,2020-08-10T00:58:48,0.8,U54A,2.902700721347466,"['', '']",274.4367,,2020-08-10T00:58:59.118805Z,2020-08-10T00:59:06.638502Z
sparta0.5355,2020-08-10T00:58:48,0.8,U56A,5.477321093273444,[],102.46792,,2020-08-10T00:58:59.410263Z,2020-08-10T00:59:07.127073Z
sparta0.5355,2020-08-10T00:58:48,0.8,V55A,5.383748112452057,[''],188.30147,,2020-08-10T00:59:00.100099Z,2020-08-10T00:59:08.289533Z
sparta0.5355,2020-08-10T00:58:48,0.8,BLA,-1.0689415741520278,[],36.585274,62.833940074324644,2020-08-10T00:59:05.517913Z,2020-08-10T00:59:17.365289Z
sparta0.7483,2020-08-10T06:05:09,1.97,GFM,4.080487310415597,[''],237.56833,62.88252580495818,2020-08-10T06:05:21.994522Z,2020-08-10T06:05:30.782688Z
sparta0.7483,2020-08-10T06:05:09,1.97,U54A,8.964059043912059,[''],274.54596,,2020-08-10T06:05:20.158703Z,2020-08-10T06:05:27.705347Z
sparta0.7483,2020-08-10T06:05:09,1.97,U56A,10.266497595686335,[],102.379486,,2020-08-10T06:05:20.401834Z,2020-08-10T06:05:28.112904Z
sparta0.7483,2020-08-10T06:05:09,1.97,V55A,9.784129556849544,[''],188.41571,,2020-08-10T06:05:21.096164Z,2020-08-10T06:05:29.282915Z
sparta0.7483,2020-08-10T06:05:09,1.97,BLA,7.1452243378837546,[],36.486923,62.88220256282551,2020-08-10T06:05:26.532546Z,2020-08-10T06:05:38.389817Z
